function,backend,dtype,n,max_ulp,p99_ulp,median_ulp,frac_gt1,frac_gt10,max_abs_err,nonfinite_mismatch,worst_x,worst_got,worst_ref,vec_scalar_mismatch,default_tol_fail,op_tol_fail,op_rtol,op_atol,seconds
exp,torch,f32,619,0.5134692560046435,0.49537654500653655,0.002934818855068872,0.0,0.0,2.2898795215550014e+28,0,-0.0009160353802144527,0.9990843534469604,0.9990843840521131,0,0,0,1.3e-06,1e-05,2.23
exp,numpy,f32,619,1.5230138617157318,1.303106903600673,0.002934818855068872,0.03877221324717286,0.0,2.2898795215550014e+28,0,35.17327880859375,1886083214213120.0,1886083418628580.2,,,,,,0.02
exp,jax,f32,619,9.062306697777963,0.5294831597393362,0.002934818855068872,0.0016155088852988692,0.0,2.2898795215550014e+28,0,-101.0748062133789,0.0,1.2698996458836764e-44,,,,,,0.12
exp,torch,f64,619,0.6240735937928708,0.5706213588969521,0.17735134425197963,0.0,0.0,2.220446049250313e-16,0,-6.310240401388446e-14,0.9999999999999368,0.9999999999999369,0,0,0,1e-07,1e-07,0.02
exp,numpy,f64,619,0.6240735937928708,0.5706213588969521,0.17735134425197963,0.0,0.0,2.220446049250313e-16,0,-6.310240401388446e-14,0.9999999999999368,0.9999999999999369,,,,,,0.01
exp,jax,f64,619,1.1773513442519796,0.6969439938153567,0.17874003139356648,0.0016155088852988692,0.0,7.067388259113537e+72,0,3.141592653589793,23.14069263277927,23.140692632779267,,,,,,0.05
exp2,torch,f32,616,0.5882794354819971,0.5095747697090179,0.0011808851916642314,0.0,0.0,3.7914940444882385e+27,0,0.4923882484436035,1.4067716598510742,1.4067717299794478,8,0,0,1.3e-06,1e-05,0.02
exp2,numpy,f32,616,0.7690006361737993,0.6980386395239501,0.0011808851916642314,0.0,0.0,3.7914940444882385e+27,0,-83.76776123046875,6.07283059098777e-26,6.072831064921003e-26,,,,,,0.02
exp2,jax,f32,616,89.8677037767673,12.575124467813385,0.0014097131355233134,0.060064935064935064,0.016233766233766232,1.5807717562407985e+30,0,-142.51026916503906,0.0,1.2593147529478158e-43,,,,,,0.04
exp2,torch,f64,616,0.6142828526343095,0.5074283229592758,0.21140585563358155,0.0,0.0,1.5692754338466702e+57,0,3.4551072945922323,10.967078041456627,10.96707804145663,9,0,0,1e-07,1e-07,0.02
exp2,numpy,f64,616,0.687666289372541,0.6115990016838216,0.21140585563358155,0.0,0.0,2.2085588309729804e+71,0,-1.1937766417144357e-13,0.9999999999999172,0.9999999999999173,,,,,,0.01
exp2,jax,f64,616,391.1272830697494,217.69784784876796,0.24202244798816808,0.07954545454545454,0.04383116883116883,7.339915460246337e+287,0,837.6776400682924,1.4658730403417213e+252,1.4658730403418009e+252,,,,,,0.04
expm1,torch,f32,619,0.4914585488488853,0.47696626949151427,0.001079424987176958,0.0,0.0,2.2898795215550014e+28,0,-0.615031898021698,-0.45937633514404297,-0.45937634979064906,0,0,0,1.3e-06,1e-05,0.03
expm1,numpy,f32,619,1.717716016461807,1.2135002556894139,0.001079424987176958,0.014539579967689823,0.0,2.2898795215550014e+28,0,0.007564363535493612,0.00759304640814662,0.007593045608272769,,,,,,0.03
expm1,jax,f32,619,2.3296568079700153,1.8970770662097045,0.001079424987176958,0.06946688206785137,0.0,2.2898795215550014e+28,0,-0.43260109424591064,-0.35118067264556885,-0.3511807420747521,,,,,,0.07
expm1,torch,f64,619,0.6378732165239338,0.49487763642364196,0.17735134425197963,0.0,0.0,9.860761315262648e-32,0,1.3361971743947984e-16,1.3361971743947986e-16,1.3361971743947984e-16,0,0,0,1e-07,1e-07,0.03
expm1,numpy,f64,619,0.49754756936214545,0.49406038065623303,0.17735134425197963,0.0,0.0,0.0,0,-1.4293266274644988e-09,-1.4293266264430114e-09,-1.4293266264430114e-09,,,,,,0.03
expm1,jax,f64,619,2.8828455150812475,2.196678579770236,0.3049351112260261,0.11954765751211632,0.0,7.067388259113537e+72,0,0.0015528420667024114,0.0015540483502529464,0.0015540483502529457,,,,,,0.06
log,torch,f32,103,0.4915015240093318,0.49140975173467716,0.23619298530523672,0.0,0.0,3.7361359659371374e-06,0,3.421556336649159e+20,47.281795501708984,47.2817973766385,0,0,0,1.3e-06,1e-05,0.01
log,numpy,f32,103,1.0000000794728525,0.7456619863804802,0.25097461095516227,0.009708737864077669,0.0,4.067228744020213e-06,0,1.0000001192092896,1.1920927533992653e-07,1.1920928244535446e-07,,,,,,0.0
log,jax,f32,103,0.5117096458516016,0.5096658663296358,0.23166296889409038,0.0,0.0,3.7361359659371374e-06,10,3.1415927410125732,1.1447298526763916,1.1447299136769349,,,,,,0.04
log,torch,f64,614,0.49851328879615403,0.49412240898354937,0.25726420307866843,0.0,0.0,0.0,0,1.0882480053198485e-278,-640.0340867838207,-640.0340867838207,0,0,0,1e-07,1e-07,0.02
log,numpy,f64,614,0.49851328879615403,0.49412240898354937,0.25726420307866843,0.0,0.0,0.0,0,1.0882480053198485e-278,-640.0340867838207,-640.0340867838207,,,,,,0.02
log,jax,f64,614,0.49851328879615403,0.49412240898354937,0.25726420307866843,0.0,0.0,0.0,0,1.0882480053198485e-278,-640.0340867838207,-640.0340867838207,,,,,,0.05
log2,torch,f32,103,0.4795108139955142,0.47748940261524125,0.2160483866806836,0.0,0.0,6.680003821202263e-06,0,3.096121645285166e-06,-18.301105499267578,-18.301106413861874,0,0,0,1.3e-06,1e-05,0.0
log2,numpy,f32,103,0.5222352601048158,0.47920055523356464,0.2160483866806836,0.0,0.0,6.680003821202263e-06,0,0.9999999403953552,-8.599132428344092e-08,-8.599132799414562e-08,,,,,,0.0
